"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Kevin Jones","Cardinal O'Hara (Springfield, PA)","RB","6-0","205",5,"0.9992","Virginia Tech"
2,"Brodie Croyle","Westbrook Christian School (Rainbow City, AL)","PRO","6-2","185",5,"0.9986","Alabama"
3,"Roscoe Crosby","Union (Union, SC)","WR","6-3","200",5,"0.9978","Clemson"
4,"Reggie Williams","Lakes (Lakewood, WA)","WR","6-4","215",5,"0.9976","Washington"
5,"Shaun Cody","Los Altos (Hacienda Heights, CA)","DT","6-4","255",5,"0.9974","USC"
6,"Tommie Harris","Killeen (Killeen, TX)","DT","6-3","275",5,"0.9966","Oklahoma"
7,"Marcus Spears","University Lab (Baton Rouge, LA)","DT","6-4","280",5,"0.9964","LSU"
8,"Marquise Hill","De La Salle (New Orleans, LA)","DT","6-7","290",5,"0.9958","LSU"
9,"Jabari Davis","Tucker (Tucker, GA)","RB","6-0","230",5,"0.9958","Tennessee"
10,"Michael Craven","La Quinta (La Quinta, CA)","OLB","6-1","215",5,"0.9954","Stanford"
11,"Leon Williams","Canarsie (Brooklyn, NY)","ILB","6-4","220",5,"0.9952","Miami"
12,"Kelly Baraka","Portage Northern (Portage, MI)","RB","6-0","180",5,"0.9944","Michigan"
13,"Ben Wilkerson","Hemphill (Hemphill, TX)","OC","6-4","265",5,"0.9944","LSU"
14,"Ahmad Carroll","Douglass (Atlanta, GA)","CB","5-10","190",5,"0.9942","Arkansas"
15,"Dominic Robinson","Diamond Bar (Diamond Bar, CA)","WR","6-1","205",5,"0.9936","Florida State"
16,"Carnell Williams","Etowah (Attalla, AL)","RB","5-11","185",5,"0.9936","Auburn"
17,"Joe Mauer","Cretin Derham Hall (Saint Paul, MN)","PRO","6-4","205",5,"0.9928","Florida State"
18,"D.J. Shockley","North Clayton (Atlanta, GA)","DUAL","6-2","185",5,"0.9926","Georgia"
19,"Michael Clayton","Christian Life Academy (Baton Rouge, LA)","WR","6-2","200",5,"0.9924","LSU"
20,"Chris Spencer","Madison Central (Madison, MS)","OC","6-3","305",5,"0.9922","Ole Miss"
21,"Ernest Shazor","Martin Luther King (Detroit, MI)","S","6-4","210",5,"0.9922","Michigan"
22,"Eric Shelton","Bryan Station (Lexington, KY)","RB","6-1","230",5,"0.9922","Florida State"
23,"Cecil Howard","McKeesport (Mckeesport, PA)","DUAL","6-1","195",5,"0.9920","Syracuse"
24,"Kevin Simon","De La Salle (Concord, CA)","OLB","5-11","215",5,"0.9910","Tennessee"
25,"Matt Ware","Loyola (Los Angeles, CA)","CB","6-3","195",5,"0.9906","UCLA"
26,"Anttaj Hawthorne","Hamden (Hamden, CT)","DT","6-3","310",5,"0.9896","Wisconsin"
27,"Mark LeVoir","Eden Prairie (Eden Prairie, MN)","OT","6-7","310",5,"0.9884","Notre Dame"
28,"Cedric Houston","Clarendon (Clarendon, AR)","RB","6-0","200",5,"0.9878","Tennessee"
29,"Patrick Estes","Benedictine (Richmond, VA)","TE","6-7","240",5,"0.9871","Virginia"
30,"Jami Hightower","Jacksonville (Jacksonville, TX)","OT","6-4","302",5,"0.9863","Texas A&M"
31,"Lorenzo Alexander","St. Mary's (Albany, CA)","SDE","6-1","280",5,"0.9861","California"
32,"Cedric Benson","Lee (Midland, TX)","RB","5-11","200",5,"0.9861","Texas"
33,"Blake Larsen","Atlantic (Atlantic, IA)","OT","6-7","299",5,"0.9857","Iowa"
34,"Marlin Jackson","Sharon (Sharon, PA)","CB","6-0","180",5,"0.9857","Michigan"
35,"Ron Lunford","Ed White (Jacksonville, FL)","OT","6-5","320",5,"0.9855","Florida State"
36,"Matt Roth","Willowbrook (Villa Park, IL)","OLB","6-4","235",5,"0.9855","Iowa"
37,"Jerome Carter","Columbia (Lake City, FL)","CB","5-11","208",5,"0.9851","Florida State"
38,"Andrew Whitworth","West Monroe (West Monroe, LA)","OG","6-7","300",5,"0.9847","LSU"
39,"Lemarcus Rowell","Opelika (Fulton, MS)","OLB","6-4","220",5,"0.9845","Auburn"
40,"Derrick Tinsley","Marietta (Marietta, GA)","RB","6-1","180",5,"0.9839","Tennessee"
41,"Airese Currie","Richland Northeast (Columbia, SC)","WR","5-11","175",5,"0.9839","Clemson"
42,"J.R. Lemon","Sandy Creek (Tyrone, GA)","RB","6-1","213",5,"0.9833","Stanford"
43,"Pierre Woods","Glenville (Cleveland, OH)","SDE","6-6","225",4,"0.9831","Michigan"
44,"Derek Anderson","Scappoose (Scappoose, OR)","PRO","6-6","230",4,"0.9827","Oregon State"
45,"Craphonso Thorpe","Lincoln (Tallahassee, FL)","WR","6-2","185",4,"0.9827","Florida State"
46,"Robert Boulware","Zebulon B. Vance (Charlotte, NC)","CB","5-10","180",4,"0.9827","Tennessee"
47,"Tim Massaquoi","Parkland (Allentown, PA)","WR","6-5","215",4,"0.9819","Michigan"
48,"De'Arrius Howard","West Memphis (West Memphis, AR)","RB","6-0","205",4,"0.9819","Arkansas"
49,"Charles Frederick","Pope John Paul II (Boca Raton, FL)","WR","6-0","190",4,"0.9819","Washington"
50,"Lydell Ross","Gaither (Tampa, FL)","RB","6-1","185",4,"0.9815","Ohio State"
51,"Fred Gibson","Ware County (Waycross, GA)","WR","6-4","180",4,"0.9811","Georgia"
