ranking,name,highSchool,position,height,weight,stars,rating,college
1,Trevor Lawrence,Cartersville (Cartersville, GA),PRO,6-6,208,5,0.9999,Clemson
2,Justin Fields,Harrison (Kennesaw, GA),DUAL,6-3,221,5,0.9998,Georgia
3,Xavier Thomas,IMG Academy (Bradenton, FL),SDE,6-3,260,5,0.9988,Clemson
4,Eyabi Anoma,St. Frances Academy (Baltimore, MD),WDE,6-5,235,5,0.9987,Alabama
5,Micah Parsons,Harrisburg (Harrisburg, PA),WDE,6-3,235,5,0.9982,Penn State
6,Patrick Surtain II,American Heritage (Fort Lauderdale, FL),CB,6-1.25,199,5,0.9973,Alabama
7,Nicholas Petit-Frere,Berkeley Prep (Tampa, FL),OT,6-6,272,5,0.9963,Ohio State
8,Justin Shorter,South Brunswick (Monmouth Junction, NJ),WR,6-4,213,5,0.9962,Penn State
9,Zamir White,Scotland County (Laurinburg, NC),RB,6-1,210,5,0.9957,Georgia
10,Jamaree Salyer,Pace Academy (Atlanta, GA),OG,6-4,342,5,0.9956,Georgia
11,Amon-Ra St. Brown,Mater Dei (Anaheim, CA),WR,5-11.5,191,5,0.9948,USC
12,Tyson Campbell,American Heritage (Fort Lauderdale, FL),CB,6-2.5,180,5,0.9944,Georgia
13,Terrace Marshall,Parkway (Bossier City, LA),WR,6-2.5,192,5,0.9930,LSU
14,KJ Henry,West Forsyth (Clemmons, NC),WDE,6-5.5,235,5,0.9928,Clemson
15,Palaie Gaoteote IV,Bishop Gorman (Las Vegas, NV),ILB,6-2,235,5,0.9926,USC
16,JT Daniels,Mater Dei (Santa Ana, CA),PRO,6-2,205,5,0.9919,USC
17,Jackson Carman,Fairfield (Fairfield, OH),OT,6-6,330,5,0.9894,Clemson
18,Adam Anderson,Rome (Rome, GA),OLB,6-4,214,5,0.9889,Georgia
19,Caden Sterns,Steele (Cibolo, TX),S,6-1,192,5,0.9886,Texas
20,Taron Vincent,IMG Academy (Bradenton, FL),DT,6-2,285,5,0.9884,Ohio State
21,Tyreke Johnson,Trinity Christian Academy (Jacksonville, FL),S,6-1,191,5,0.9876,Ohio State
22,Cade Mays,Knoxville Catholic (Knoxville, TN),OT,6-6,318,5,0.9869,Georgia
23,Brenton Cox,Stockbridge (Stockbridge, GA),SDE,6-4.5,247,5,0.9867,Georgia
24,B.J. Foster,Angleton (Angleton, TX),S,6-1,188,5,0.9865,Texas
25,Lorenzo Lingard,University (Orange City, FL),RB,6-0,190,5,0.9861,Miami
26,Derion Kendrick,South Pointe (Rock Hill, SC),WR,6-1,184,5,0.9855,Clemson
27,Ricky Slade,C. D. Hylton (Woodbridge, VA),APB,5-9,185,5,0.9853,Penn State
28,Olaijah Griffin,Mission Viejo (Mission Viejo, CA),CB,6-0,170,5,0.9849,USC
29,Brey Walker,Westmoore (Moore, OK),OT,6-7,320,5,0.9836,Oklahoma
30,Jaelen Gill,Westerville South (Westerville, OH),APB,6-1,182,4,0.9831,Ohio State
31,Quay Walker,Crisp County (Cordele, GA),OLB,6-4,236,4,0.9830,Georgia
32,Isaac Taylor-Stuart,Helix (San Diego, CA),CB,6-2,187,4,0.9827,USC
33,Brevin Jordan,Bishop Gorman (Las Vegas, NV),TE,6-3,250,4,0.9820,Miami
34,Tyreke Smith,Cleveland Heights (Cleveland, OH),WDE,6-3,260,4,0.9816,Ohio State
35,Jaiden Woodbey,St. John Bosco (Fontana, CA),S,6-2,204,4,0.9814,Florida State
36,Dorian Thompson-Robinson,Bishop Gorman (Las Vegas, NV),DUAL,6-1.5,195,4,0.9813,UCLA
37,Jeremy Ruckert,Lindenhurst (Lindenhurst, NY),TE,6-5.5,238,4,0.9810,Ohio State
38,Brendan Radley-Hiles,IMG Academy (Bradenton, FL),CB,5-10,183,4,0.9807,Oklahoma
39,Jaylen Waddle,Episcopal (Bellaire, TX),WR,5-9.5,175,4,0.9791,Alabama
40,Devon Williams,Antelope Valley (Lancaster, CA),WR,6-4,200,4,0.9791,USC
41,James Cook,Northwestern (Miami, FL),APB,5-11.5,181,4,0.9786,Georgia
42,Kelvin Joseph,Scotlandville Magnet (Baton Rouge, LA),S,6-1.5,191,4,0.9784,LSU
43,Justin Rogers,Parkway (Bossier City, LA),DUAL,6-4,210,4,0.9772,TCU
44,Teradja Mitchell,Bishop Sullivan Catholic (Virginia Beach, VA),ILB,6-2,232,4,0.9771,Ohio State
45,Justyn Ross,Central (Phenix City, AL),WR,6-4,201,4,0.9765,Clemson
46,Tanner McKee,Centennial (Corona, CA),PRO,6-6,220,4,0.9764,Stanford
47,Jalen Green,Heights (Houston, TX),CB,6-0,171,4,0.9762,Texas
48,JJ Peterson,Colquitt County (Moultrie, GA),OLB,6-2.5,231,4,0.9761,Tennessee
49,Joey Gatewood,Bartram Trail (Jacksonville, FL),ATH,6-4,232,4,0.9759,Auburn
50,A.J. Lytton,Dr. Henry Wise (Upper Marlboro, MD),CB,5-10,173,4,0.9757,Florida State
51,Luke Ford,Carterville (Carterville, IL),TE,6-6,248,4,0.9753,Georgia
52,DeMarvion Overshown,Arp (Arp, TX),S,6-4,200,4,0.9737,Texas
53,William Barnes,Apopka (Apopka, FL),OT,6-4,325,4,0.9732,North Carolina
54,Nesta Silvera,American Heritage (Fort Lauderdale, FL),DT,6-2,308,4,0.9730,Miami
55,Tommy Togiai,Highland (Pocatello, ID),DT,6-3,290,4,0.9721,Ohio State
56,Kyler McMichael,Greater Atlanta Christian School (Norcross, GA),CB,6-1,201,4,0.9720,Clemson
57,Penei Sewell,Desert HIlls (Saint George, UT),OG,6-5,349,4,0.9709,Oregon
58,Jordyn Adams,Green Hope (Cary, NC),WR,6-2,175,4,0.9707,North Carolina
59,Marquis Spiker,Murrieta Valley (Murrieta, CA),WR,6-3,180,4,0.9703,Washington
60,Asante Samuel Jr.,St. Thomas Aquinas (Fort Lauderdale, FL),CB,5-9.5,166,4,0.9702,Florida State
61,Brennan Eagles,Alief Taylor (Houston, TX),WR,6-3.5,214,4,0.9699,Texas
62,Trey Hill,Houston County (Warner Robins, GA),OG,6-3.5,346,4,0.9692,Georgia
63,Matt Corral,Long Beach Poly (Long Beach, CA),PRO,6-2,202,4,0.9690,Ole Miss
64,Anthony Cook,Lamar (Houston, TX),CB,6-0,168,4,0.9682,Texas
65,Rasheed Walker,North Point (Waldorf, MD),OT,6-6,290,4,0.9676,Penn State
66,Ronnie Perkins,Lutheran North (Saint Louis, MO),WDE,6-2.5,256,4,0.9666,Oklahoma
67,Mark Pope,Miami Southridge (Hialeah, FL),WR,6-1,175,4,0.9656,Miami
68,Matthew Jones,Erasmus Hall (Brooklyn, NY),OC,6-4,300,4,0.9652,Ohio State
69,Jacob Copeland,Escambia (Pensacola, FL),WR,6-0,192,4,0.9651,Florida
70,Houston Griffith,IMG Academy (Bradenton, FL),CB,6-1,192,4,0.9651,Notre Dame
71,Josh Proctor,Owasso (Owasso, OK),S,6-2,190,4,0.9640,Ohio State
72,Michael Thompson,Parkway North (Saint Louis, MO),DT,6-3.5,291,4,0.9638,Oklahoma
73,Kamryn Babb,Christian Brothers College (Saint Louis, MO),WR,6-1,189,4,0.9629,Ohio State
74,Stephon Wynn,IMG Academy (Anderson, SC),SDE,6-4,308,4,0.9624,Alabama
75,Leon O'Neal Jr.,Cy Springs (Cypress, TX),S,6-1,190,4,0.9624,Texas A&M
76,Jayson Oweh,Blair Academy (Blairstown, NJ),SDE,6-5,236,4,0.9617,Penn State
77,Jarren Williams,Central Gwinnett (Lawrenceville, GA),PRO,6-2,206,4,0.9614,Miami
78,PJ Mustipher,McDonogh School (Owings Mills, MD),DT,6-4.5,290,4,0.9613,Penn State
79,Payton Wilson,Orange (Hillsborough, NC),OLB,6-4,225,4,0.9613,N.C. State
80,Brian Snead,Armwood (Seffner, FL),RB,5-11,200,4,0.9607,Ohio State
81,Richard Gouraige,Cambridge Christian School (Tampa, FL),OT,6-5,271,4,0.9603,Florida
82,Kevin Austin,North Broward Prep (Pompano Beach, FL),WR,6-3,198,4,0.9601,Notre Dame
83,Phil Jurkovec,Pine-Richland (Gibsonia, PA),DUAL,6-5,215,4,0.9593,Notre Dame
84,JaMarr Chase,Archbishop Rummel (Metairie, LA),WR,6-1,195,4,0.9589,LSU
85,Emory Jones,Heard County (Franklin, GA),DUAL,6-2.5,195,4,0.9587,Florida
86,Solomon Tuliaupupu,Mater Dei (Santa Ana, CA),ILB,6-2,220,4,0.9582,USC
87,Otis Reese,Lee County (Leesburg, GA),OLB,6-4,206,4,0.9575,Georgia
88,Talanoa Hufanga,Crescent Valley (Corvallis, OR),ATH,6-0.5,193,4,0.9571,USC
89,Justin Watkins,East Ridge (Clermont, FL),WR,5-11,172,4,0.9567,Florida
90,Shayne Simon,St. Peters Prep (Jersey City, NJ),OLB,6-3,215,4,0.9567,Notre Dame
91,Colson Yankoff,Coeur d'Alene (Coeur D Alene, ID),DUAL,6-4,204,4,0.9564,Washington
92,Matthew Hill,Brookwood (Snellville, GA),WR,6-2,185,4,0.9562,Auburn
93,Tyler Friday,Don Bosco Prep (Ramsey, NJ),DT,6-3,263,4,0.9560,Ohio State
94,Jacob Sirmon,Bothell (Bothell, WA),PRO,6-4,227,4,0.9559,Washington
95,Jalen Preston,Manvel (Manvel, TX),WR,6-2,212,4,0.9557,Texas A&M
96,Joshua Moore,Yoakum (Yoakum, TX),WR,6-1,170,4,0.9556,Texas
97,Al Blades Jr.,St. Thomas Aquinas (Fort Lauderdale, FL),CB,6-0,170,4,0.9556,Miami
98,Bryan Addison,Junipero Serra (Gardena, CA),ATH,6-5,180,4,0.9552,Oregon
99,Jack Lamb,Great Oak (Temecula, CA),ILB,6-4,220,4,0.9547,Notre Dame
100,T.J. Pledger,IMG Academy (Bradenton, FL),APB,5-8,190,4,0.9543,Oklahoma
101,Ron Tatum,Putnam City (Oklahoma City, OK),SDE,6-4.5,269,4,0.9541,Oklahoma
102,Josh Belk,Lewisville (Richburg, SC),DT,6-3,309,4,0.9529,Clemson
103,Channing Tindall,Spring Valley (Columbia, SC),ILB,6-2,213,4,0.9526,Georgia
104,Al'vonte Woodard,Lamar (Houston, TX),WR,6-1,193,4,0.9518,Texas
105,Tuli Letuligasenoa,De La Salle (Concord, CA),DT,6-1,338,4,0.9517,Washington
106,Derrik Allen,Lassiter (Marietta, GA),S,6-2,211,4,0.9516,Notre Dame
107,Jalyn Armour-Davis,St. Paul's Episcopal (Mobile, AL),CB,6-1,180,4,0.9513,Alabama
108,Jordan Davis,Southwind (Memphis, TN),WDE,6-5,238,4,0.9510,Alabama
109,Josh Jobe,Cheshire Academy (Cheshire, CT),CB,6-1,180,4,0.9509,Alabama
110,Justin Dedich,Chaparral (Temecula, CA),OC,6-2,290,4,0.9507,USC
111,Ricky Person,Heritage (Wake Forest, NC),RB,6-2,202,4,0.9502,N.C. State
112,Aidan Hutchinson,Divine Child (Dearborn, MI),SDE,6-6,260,4,0.9498,Michigan
113,Emil Ekiyor,Cathedral (Indianapolis, IN),OC,6-2,322,4,0.9496,Alabama
114,Mario Goodrich,Lee's Summit West (Lees Summit, MO),ATH,6-2,180,4,0.9492,Clemson
115,D'shawn Jamison,Lamar (Houston, TX),CB,5-10,174,4,0.9486,Texas
116,Nana Asiedu,North Stafford (Stafford, VA),OT,6-5,265,4,0.9484,Penn State
117,Robert Cooper,South Gwinnett (Snellville, GA),DT,6-2,377,4,0.9482,Florida State
118,Cameron McGrone,Lawrence Central (Indianapolis, IN),OLB,6-1,215,4,0.9481,Michigan
119,Ayodele Adeoye,IMG Academy (Saint Louis, MO),ILB,6-0,231,4,0.9475,Texas
120,Coynis Miller,Jackson-Olin (Birmingham, AL),DT,6-1.5,300,4,0.9475,Auburn
121,Max Wray,Franklin (Franklin, TN),OT,6-6.5,289,4,0.9473,Ohio State
122,Alontae Taylor,Coffee County Central (Manchester, TN),WR,6-0,184,4,0.9471,Tennessee
123,Keondre Coburn,Westfield (Houston, TX),DT,6-1,329,4,0.9468,Texas
124,Dante Stills,Fairmont (Fairmont, WV),SDE,6-4,265,4,0.9467,West Virginia
125,Junior Angilau,East (Salt Lake City, UT),OT,6-6,297,4,0.9458,Texas
126,L'Christian Smith,Wayne (Dayton, OH),ATH,6-6,205,4,0.9454,Ohio State
127,Jalen Hall,Long Beach Poly (Long Beach, CA),WR,6-4,192,4,0.9454,Oregon
128,Jayson Ademilola,St. Peters Prep (Jersey City, NJ),DT,6-3,290,4,0.9453,Notre Dame
129,Merlin Robertson,Junipero Serra (Gardena, CA),OLB,6-3,241,4,0.9452,Arizona State
130,Kearis Jackson,Peach County (Fort Valley, GA),WR,5-11.5,203,4,0.9451,Georgia
131,Cameron Latu,Olympus (Salt Lake City, UT),WDE,6-5,236,4,0.9450,Alabama
132,Tommy Brown,Mater Dei (Santa Ana, CA),OG,6-6.5,313,4,0.9449,Alabama
133,Ale Kaho,Reno (Reno, NV),ILB,6-1,218,4,0.9448,Alabama
134,Aashari Crosswell,Long Beach Poly (Long Beach, CA),S,6-1,185,4,0.9442,Arizona State
135,Jalen Redmond,Midwest City (Oklahoma City, OK),WDE,6-4,233,4,0.9442,Oklahoma
136,Greg Emerson,North Side (Jackson, TN),DT,6-3,280,4,0.9441,Tennessee
137,Steve Stephens,Edison (Fresno, CA),S,6-0,185,4,0.9430,Oregon
138,Chase Williams,Eleanor Roosevelt (Corona, CA),CB,6-1,190,4,0.9423,USC
139,Adrian Martinez,Clovis West (Fresno, CA),DUAL,6-2,205,4,0.9423,Nebraska
140,Tyler Shough,Hamilton (Chandler, AZ),PRO,6-4.5,187,4,0.9422,Oregon
141,Rick Sandidge,Concord (Concord, NC),DT,6-5,285,4,0.9416,South Carolina
142,Justin Mascoll,South Gwinnett (Snellville, GA),WDE,6-4,237,4,0.9412,Clemson
143,Xavier Williams,Chaminade-Madonna Prep (Hollywood, FL),WR,6-0.5,190,4,0.9405,Alabama
144,Azeez Ojulari,Marietta (Marietta, GA),WDE,6-4,224,4,0.9391,Georgia
145,Jaelyn Duncan,St. Frances Academy (Owings, MD),OT,6-6,300,4,0.9390,Maryland
146,Josh Vann,Tucker (Tucker, GA),WR,5-10.5,175,4,0.9388,South Carolina
147,CJ Moore,Union (Tulsa, OK),WR,6-5,175,4,0.9388,Oklahoma State
