ranking,name,highSchool,position,height,weight,stars,rating,college
1,Nolan Smith,IMG Academy (Bradenton	 FL),WDE,6-3, 227 ,5,0.9994,Georgia
2,Kayvon Thibodeaux,Oaks Christian (Thousand Oaks	 CA),WDE,6-4.5, 239 ,5,0.9987,Oregon
3,Derek Stingley,Dunham School (Baton Rouge	 LA),CB,6-0.5, 188 ,5,0.9980,LSU
4,Jadon Haselwood,Cedar Grove (Ellenwood	 GA),WR,6-2.5, 196 ,5,0.9967,Oklahoma
5,Antonio Alfano,Colonia (Colonia	 NJ),SDE,6-4, 285 ,5,0.9965,Alabama
6,Trey Sanders,IMG Academy (Bradenton	 FL),RB,6-0, 214 ,5,0.9963,Alabama
7,Evan Neal,IMG Academy (Bradenton	 FL),OT,6-7.5, 360 ,5,0.9946,Alabama
8,Zacch Pickens,T L Hanna (Anderson	 SC),DT,6-3, 293 ,5,0.9946,South Carolina
9,Bru McCoy,Mater Dei (Santa Ana	 CA),ATH,6-2, 205 ,5,0.9944,Texas
10,Darnell Wright,Huntington (Huntington	 WV),OT,6-6, 320 ,5,0.9944,Tennessee
11,Spencer Rattler,Pinnacle (Phoenix	 AZ),PRO,6-1, 192 ,5,0.9942,Oklahoma
12,Zach Harrison,Olentangy Orange (Lewis Center	 OH),SDE,6-5, 253 ,5,0.9933,Ohio State
13,John Emery Jr.,Destrehan (Destrehan	 LA),RB,5-11, 206 ,5,0.9929,LSU
14,Daxton Hill,Booker T. Washington (Tulsa	 OK),S,6-0.5, 186 ,5,0.9927,Michigan
15,Kenyon Green,Atascocita (Humble	 TX),OT,6-4.5, 322 ,5,0.9926,Texas A&M
16,DeMarvin Leal,Judson (Converse	 TX),DT,6-4, 289 ,5,0.9920,Texas A&M
17,Logan Brown,East Kentwood (Grand Rapids	 MI),OT,6-6, 305 ,5,0.9915,Wisconsin
18,Brandon Smith,Louisa County (Mineral	 VA),ILB,6-4, 228 ,5,0.9911,Penn State
19,Nakobe Dean,Horn Lake (Horn Lake	 MS),ILB,6-0, 220 ,5,0.9908,Georgia
20,Garrett Wilson,Lake Travis (Austin	 TX),WR,5-11.5, 175 ,5,0.9903,Ohio State
21,Theo Wease,Allen (Allen	 TX),WR,6-3, 202 ,5,0.9903,Oklahoma
22,Travon Walker,Upson-Lee (Thomaston	 GA),DT,6-5, 285 ,5,0.9901,Georgia
23,Andrew Booth,Archer (Lawrenceville	 GA),CB,6-1, 188 ,5,0.9891,Clemson
24,George Pickens,Hoover (Hoover	 AL),WR,6-3.5, 190 ,5,0.9880,Georgia
25,Owen Pappoe,Grayson (Loganville	 GA),OLB,6-0, 210 ,5,0.9879,Auburn
26,Clay Webb,Oxford (Oxford	 AL),OC,6-3, 295 ,5,0.9877,Georgia
27,Charles Cross,Laurel (Laurel	 MS),OT,6-5, 270 ,5,0.9877,Mississippi State
28,Wanya Morris,Grayson (Loganville	 GA),OT,6-6, 312 ,5,0.9871,Tennessee
29,Jerrion Ealy,Jackson Prep (Flowood	 MS),RB,5-10, 200 ,5,0.9870,Ole Miss
30,Harry Miller,Buford (Buford	 GA),OC,6-3.5, 305 ,5,0.9868,Ohio State
31,Chris Hinton,Greater Atlanta Christian School (Norcross	 GA),DT,6-4, 280 ,5,0.9867,Michigan
32,Marcel Brooks,Marcus (Flower Mound	 TX),OLB,6-2, 195 ,5,0.9861,LSU
33,Bo Nix,Pinson Valley (Pinson	 AL),DUAL,6-1.5, 207 ,5,0.9857,Auburn
34,Jordan Whittington,Cuero (Cuero	 TX),ATH,6-0, 198 ,5,0.9836,Texas
35,Jayden Daniels,Cajon (San Bernardino	 CA),DUAL,6-3, 175 ,4,0.9832,Arizona State
36,Dominick Blaylock,Walton (Marietta	 GA),WR,6-1, 195 ,4,0.9831,Georgia
37,Tyrique Stevenson,Miami Southridge (Homestead	 FL),CB,6-0.5, 202 ,4,0.9831,Georgia
38,Kyle Ford,Orange Lutheran (Orange	 CA),WR,6-2, 212 ,4,0.9812,USC
39,Frank Ladson,South Dade (Miami	 FL),WR,6-3, 190 ,4,0.9800,Clemson
40,Pierce Quick,Hewitt-Trussville (Trussville	 AL),OT,6-5, 287 ,4,0.9789,Alabama
41,Mykael Wright,Antelope Valley (Lancaster	 CA),CB,5-11, 180 ,4,0.9783,Oregon
42,Chris Steele,St. John Bosco (Bellflower	 CA),CB,6-1.5, 187 ,4,0.9782,Florida
43,Jordan Battle,St. Thomas Aquinas (Fort Lauderdale	 FL),S,6-1, 187 ,4,0.9780,Alabama
44,Henry To'oto'o,De La Salle (Concord	 CA),OLB,6-2, 230 ,4,0.9779,Tennessee
45,Lewis Cine,Trinity Christian School (Cedar Hill	 TX),S,6-2, 180 ,4,0.9765,Georgia
