ranking,name,highSchool,position,height,weight,stars,rating,college
1,Bryan Bresee,Damascus (Damascus	 MD),SDE,6-5,290,5,0.9995,uncommitted
2,Zachary Evans,North Shore (Houston	 TX),RB,6-0,205,5,0.9991,uncommitted
3,Justin Flowe,Upland (Upland	 CA),ILB,6-2,225,5,0.9989,uncommitted
4,Sav'ell Smalls,Garfield (Seattle	 WA),OLB,6-3,227,5,0.9989,uncommitted
5,Julian Fleming,Southern Columbia (Catawissa	 PA),WR,6-3,210,5,0.9977,uncommitted
6,Paris Johnson Jr.,St. Xavier (Cincinnati	 OH),OT,6-7,285,5,0.9976,Ohio State
7,DJ Uiagalelei,St. John Bosco (Bellflower	 CA),PRO,6-4,240,5,0.9968,uncommitted
8,Arik Gilbert,Marietta (Marietta	 GA),ATH,6-5,248,5,0.9967,uncommitted
9,Elias Ricks,Mater Dei (Santa Ana	 CA),CB,6-2,180,5,0.9966,LSU
10,Kelee Ringo,Saguaro (Scottsdale	 AZ),CB,6-2,200,5,0.9963,uncommitted
11,Kendall Milton,Buchanan (Clovis	 CA),RB,6-2,210,5,0.9962,uncommitted
12,Myles Hinton,Greater Atlanta Christian School (Norcross	 GA),OT,6-6,308,5,0.9952,Stanford
13,Myles Murphy,Hillgrove (Powder Springs	 GA),SDE,6-5,255,5,0.9929,uncommitted
14,Justin Rogers,Oak Park (Oak Park	 MI),OG,6-2.5,311,5,0.9929,uncommitted
15,Mekhail Sherman,St. John's College HS (Washington	 DC),OLB,6-3,234,5,0.9923,uncommitted
16,McKinnley Jackson,George County (Lucedale	 MS),DT,6-2,310,5,0.9915,uncommitted
17,Jase McClellan,Aledo (Aledo	 TX),RB,5-10,201,5,0.9910,Oklahoma
18,Chris Braswell,St. Frances Academy (Baltimore	 MD),WDE,6-3,211,5,0.9909,Alabama
19,Johnny Wilson,Calabasas (Calabasas	 CA),WR,6-5,215,5,0.9907,uncommitted
20,Demond Demas,Tomball (Tomball	 TX),WR,6-4,210,5,0.9899,Texas A&M
21,Antoine Sampah,Woodbridge (Woodbridge	 VA),ILB,6-2.5,220,5,0.9889,uncommitted
22,Jordan Burch,Hammond School (Columbia	 SC),SDE,6-5,250,5,0.9884,uncommitted
23,Reggie Grimes,Mount Juliet (Mount Juliet	 TN),WDE,6-3.5,220,5,0.9884,uncommitted
24,MarShawn Lloyd,DeMatha Catholic (Hyattsville	 MD),RB,5-10,210,5,0.9884,uncommitted
25,Broderick Jones,Lithonia (Lithonia	 GA),OT,6-6,275,5,0.9874,Georgia
26,Chris Tyree,Thomas Dale (Chester	 VA),APB,5-9,178,5,0.9867,uncommitted
27,Rakim Jarrett,St. John's College HS (Washington	 DC),WR,6-0,182,5,0.9861,uncommitted
28,Bryce Young,Mater Dei (Santa Ana	 CA),DUAL,6-0,176,5,0.9856,USC
29,Marcus Rosemy,St. Thomas Aquinas (Fort Lauderdale	 FL),WR,6-0.5,178,5,0.9853,uncommitted
30,Fred Davis II,Trinity Christian Academy (Jacksonville	 FL),CB,6-2,177,5,0.9850,uncommitted
31,Darnell Washington,Desert Pines (Las Vegas	 NV),TE,6-7.5,238,5,0.9846,uncommitted
32,Desmond Evans,Lee County (Sanford	 NC),WDE,6-6,238,5,0.9845,uncommitted
33,Demarkcus Bowman,Lakeland (Lakeland	 FL),RB,5-11,186,5,0.9842,uncommitted
34,Dwight McGlothern,Trinity Christian School (Cedar Hill	 TX),CB,6-1.5,180,5,0.9836,uncommitted
35,Luke Wypler,St Joseph Regional (Montvale	 NJ),OC,6-3.5,285,4,0.9827,Ohio State
36,Leonard Manuel,Vanguard (Ocala	 FL),WR,6-4,200,4,0.9821,Florida
37,Jason Harris,Higley (Gilbert	 AZ),WDE,6-7,220,4,0.9814,uncommitted
38,RJ Mickens,Southlake Carroll (Southlake	 TX),S,6-1,188,4,0.9814,uncommitted
39,Bijan Robinson,Salpointe Catholic (Tucson	 AZ),RB,6-0,200,4,0.9808,uncommitted
40,Tank Bigsby,Callaway (Hogansville	 GA),RB,6-0,195,4,0.9805,uncommitted
41,Jayson Jones,Calera (Calera	 AL),DT,6-6.5,340,4,0.9804,Alabama
42,Myles Murao,Mater Dei (Santa Ana	 CA),OG,6-3,270,4,0.9799,uncommitted
