ranking,name,highSchool,position,height,weight,stars,rating,college
1,J.T. Tuimoloau,Eastside Catholic (Sammamish	 WA),DT,6-4.5,277,5,1.0000,uncommitted
2,Garrett Dellinger,Clarkston (Clarkston	 MI),OT,6-6,250,5,0.9996,uncommitted
3,Jack Sawyer,Pickerington North (Pickerington	 OH),SDE,6-5,219,5,0.9992,uncommitted
4,Bryce Langston,Vanguard (Ocala	 FL),WDE,6-3,212,5,0.9988,Florida
5,Quintin Somerville,Saguaro (Scottsdale	 AZ),SDE,6-3,210,5,0.9984,uncommitted
6,Preston Stone,Parish Episcopal School (Dallas	 TX),DUAL,6-2,185,5,0.9980,uncommitted
7,Isaiah Johnson,Bluefield (Bluefield	 WV),CB,6-0,177,5,0.9976,uncommitted
8,JC Latham,Catholic Memorial (Waukesha	 WI),SDE,6-6,270,5,0.9972,uncommitted
9,Julian Nixon,Centennial (Roswell	 GA),WR,6-4,205,5,0.9968,uncommitted
10,Rocco Spindler,Clarkston (Clarkston	 MI),DT,6-4,250,5,0.9964,uncommitted
11,Kingsley Suamataia,Orem (Orem	 UT),OT,6-5,288,5,0.9960,uncommitted
12,Tony Grimes,Princess Anne (Virginia Beach	 VA),CB,6-0,180,5,0.9956,uncommitted
13,Sam Huard,Kennedy Catholic (Burien	 WA),PRO,6-2,175,5,0.9952,Washington
14,Donell Harris,Booker T. Washington (Miami	 FL),WDE,6-5,200,5,0.9948,Miami
15,James Williams,American Heritage (Opa Locka	 FL),S,6-3,200,5,0.9944,Miami
16,Marvin Harrison Jr.,St. Joseph's Prep School (Philadelphia	 PA),WR,6-3.5,174,5,0.9940,uncommitted
17,Katron Evans,Granby (Norfolk	 VA),DT,6-4,265,5,0.9936,uncommitted
18,Micah Morris,Camden County (Kingsland	 GA),OT,6-3.5,286,5,0.9932,uncommitted
19,Payton Page,Dudley (Greensboro	 NC),DT,6-4,315,5,0.9928,uncommitted
20,Troy Franklin,Menlo-Atherton (Menlo Park	 CA),WR,6-2,170,5,0.9924,uncommitted
21,Ma'a Gaoteote,Faith Lutheran (Las Vegas	 NV),OLB,6-2,220,5,0.9920,USC
22,Donovan Jackson,Episcopal (Bellaire	 TX),OT,6-3.5,305,5,0.9916,uncommitted
23,Kendrick Blackshire,Horn (Mesquite	 TX),ILB,6-2,250,5,0.9912,uncommitted
24,Dominic Bass,Phillips Academy (Chicago	 IL),DT,6-4,250,5,0.9908,uncommitted
25,Reuben Fatheree,Foster (Richmond	 TX),OT,6-8,300,5,0.9904,uncommitted
26,Damon Payne,Belleville (Belleville	 MI),OG,6-4,255,5,0.9900,uncommitted
27,Hayden Conner,Taylor (Katy	 TX),OT,6-5.5,298,5,0.9896,uncommitted
