ranking,name,highSchool,position,height,weight,stars,rating,college
1,Antwuan Jackson Jr.,Blinn College (Ellenwood, GA),DT,6-2.25,305,4,0.9290,Ohio State
2,Saivion Smith,Mississippi Gulf Coast C.C. (Bradenton, FL),CB,6-1,175,4,0.9290,Alabama
3,Lucas Krull,Jefferson College (Shawnee, KS),TE,6-7,255,4,0.9200,Florida
4,Tramonda Moore,Independence C.C. (Oklahoma City, OK),OT,6-6,330,4,0.9128,Oklahoma
5,Travez Moore,Copiah-Lincoln C.C. (Bastrop, LA),WDE,6-6,250,4,0.9074,LSU
6,Devonte Wyatt,Hutchinson C.C. (Decatur, GA),DT,6-3,300,4,0.9067,Georgia
7,Badara Traore,ASA College (New York) (Hyde Park, MA),OT,6-7,310,4,0.9020,LSU
8,Teair Tart-Spencer,East Mississippi C.C. (Scooba, MS),DT,6-4,295,4,0.9004,FIU
9,Tayland Humphrey,Hutchinson C.C. (Spring, TX),DT,6-5,350,4,0.8992,FIU
10,Dominick Wood-Anderson,Arizona Western College (Spring Valley, CA),TE,6-5,245,4,0.8979,Tennessee
11,Jeremy Webb,ASA College (New York) (Lincolnshire, IL),CB,6-3,195,4,0.8979,Virginia Tech
12,Caleb Tremblay,American River C.C. (Sacramento, CA),DT,6-5,275,4,0.8967,USC
13,Anthony McKinney,Iowa Western C.C. (Machesney Park, IL),OT,6-8,330,4,0.8967,TCU
14,Jordan Allen,City College of San Francisco (Fairfield, CA),WDE,6-4,230,4,0.8967,Tennessee
15,Daquan Newkirk,Mississippi Gulf Coast C.C. (Orlando, FL),DT,6-3,282,4,0.8959,Auburn
16,Stephen Guidry,Hinds C.C. (Morganza, LA),WR,6-4,190,4,0.8940,Mississippi State
17,Davion Taylor,Coahoma C.C. (Clarksdale, MS),OLB,6-2,215,4,0.8939,Colorado
18,Emmit Gooden,Independence C.C. (Brownsville, TN),DT,6-4,305,4,0.8933,Tennessee
19,Marlon Character Jr.,Northwest Mississippi C.C. (Atlanta, GA),S,6-0,190,4,0.8913,Louisville
20,Noah Jefferson,Arizona Western College (Las Vegas, NV),DT,6-5,330,3,0.8892,Florida Atlantic
21,Mikey Grandy,College of San Mateo (Palo Alto, CA),OT,6-5,305,3,0.8871,Texas
22,Noah Banks,Iowa Western C.C. (Pensacola, FL),OT,6-7,305,3,0.8871,Florida
23,Jahmir Johnson,Arizona Western College (Philadelphia, PA),OT,6-5,273,3,0.8864,Tennessee
24,Jaron Woodyard,Arizona Western College (Bethesda, MD),WR,5-10,176,3,0.8859,Nebraska
25,Victor Viramontes,Riverside C.C. (Norco, CA),DUAL,6-2,230,3,0.8851,Minnesota
26,Malik Henry,Independence C.C. (Long Beach, CA),DUAL,6-2,185,3,0.8850,uncommitted
27,Greg Bell,Arizona Western College (Chula Vista, CA),RB,6-0,200,3,0.8846,Nebraska
28,Dorian Gerald,College of the Canyons (Florence, SC),SDE,6-3,260,3,0.8840,Arkansas
29,TJ Bradley,Lackawanna C.C. (Leesburg, VA),OT,6-8,290,3,0.8838,Maryland
