"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Morgan Moses","Fork Union Military Academy (Fork Union, VA)","OT","6-6","336",4,"0.9095","Virginia"
2,"Todd Thomas","Milford Academy (New Berlin, NY)","WR","6-2","205",4,"0.9032","Pittsburgh"
3,"Laurence Gibson","Hargrave Military Academy (Chatham, VA)","OG","6-6","296",4,"0.9002","Virginia Tech"
4,"Carlos Hyde","Fork Union Military Academy (Naples, FL)","RB","6-0","238",4,"0.9000","Ohio State"
5,"Josh Watson","Hargrave Military Academy (Wilmington, DE)","DT","6-4","270",4,"0.8981","Clemson"
6,"Johnnie Farms","Hargrave Military Academy (Chatham, VA)","OG","6-2","305",3,"0.8843","Memphis"
7,"Prince Kent","Hargrave Military Academy (Norcross, GA)","OLB","6-3","200",3,"0.8799","Baylor"
8,"David Mackall","Fork Union Military Academy (Fork Union, VA)","OLB","6-3","256",3,"0.8706","Maryland"
9,"Sean Farr","Hargrave Military Academy (Chatham, VA)","WR","6-4","200",3,"0.8667","Memphis"
10,"De'Antre Rhodes","Hargrave Military Academy (Chatham, VA)","DT","6-3","280",3,"0.8653","Louisville"
11,"Malcolm Bunche","Milford Academy (New Berlin, NY)","OT","6-6","325",3,"0.8632","Miami"
12,"Tyson Chandler","Fork Union Military Academy (Fork Union, VA)","OG","6-6","340",3,"0.8590","N.C. State"
13,"L.A. Goree","Fork Union Military Academy (Fork Union, VA)","OLB","6-2","200",3,"0.8556","Maryland"
14,"Alex Owah","Hargrave Military Academy (Chatham, VA)","RB","5-11","190",3,"0.8556","East Carolina"
15,"Jerrell Rhodes","Hargrave Military Academy (Chatham, VA)","APB","5-10","195",3,"0.8525","Memphis"
16,"Theron Norman","Hargrave Military Academy (Richmond, VA)","S","6-3","190",3,"0.8514","Virginia Tech"
17,"Jerell Rhodes","Hargrave Military Academy (Chatham, VA)","RB","5-10","195",3,"0.8444","Memphis"
18,"A.J. Ferguson","Fork Union Military Academy (Fork Union, VA)","SDE","6-2","250",3,"0.8389","N.C. State"
19,"Andrew Opoku","Fork Union Military Academy (Fork Union, VA)","S","6-4","226",3,"0.8368","Connecticut"
20,"Thomas Pizzurro","Hargrave Military Academy (Chatham, VA)","OG","6-3","300",3,"0.8336","Kent State"
21,"Tom Pizzurrro","Hargrave Military Academy (Chatham, VA)","OC","6-3","300",3,"0.8336","Kent State"
22,"Cam Thomas","Milford Academy (New Berlin, NY)","S","-","-",3,"0.8333","Western Kentucky"
23,"Elijah Grant","Fork Union Military Academy (Fork Union, VA)","OT","6-6","340",3,"0.8333","Temple"
24,"Calvin Tiggle","Hargrave Military Academy (Chatham, VA)","S","5-10","185",3,"0.8333","Kent State"
25,"Deon Miller","Fork Union Military Academy (Fork Union, VA)","WR","6-5","205",3,"0.8333","Temple"
26,"Terrence Hackney","Hargrave Military Academy (Chatham, VA)","OT","6-7","320",3,"0.8333","Ole Miss"
27,"Trevor Black","Hargrave Military Academy (Chatham, VA)","OLB","6-4","200",3,"0.8222","Marshall"
28,"Raynard Randolph","Hargrave Military Academy (Chatham, VA)","DT","6-2","325",3,"0.8222","N.C. State"
29,"D.J. Bunn","Hargrave Military Academy (Smithfield, NC)","S","5-11","200",3,"0.8188","North Carolina"
30,"Dylan Farrington","Hargrave Military Academy (Chatham, VA)","CB","6-0","195",3,"0.8111","Kent State"
31,"Ishmael Banks","Hargrave Military Academy (Chatham, VA)","CB","5-11","180",3,"0.8111","West Virginia"
32,"Ross Madison","Hargrave Military Academy (Chatham, VA)","S","6-0","192",3,"0.8111","Toledo"
33,"Mark Shuman","Fork Union Military Academy (Fork Union, VA)","OT","6-7","285",3,"0.8049","Virginia Tech"
34,"Robert Lisowski","Fork Union Military Academy (Fork Union, VA)","OG","6-4","305",3,"0.8000","Toledo"
35,"Robert Kearney","Hargrave Military Academy (Chatham, VA)","DT","6-4","290",3,"0.8000","Kent State"
36,"Cody Wallace","Fork Union Military Academy (Fork Union, VA)","OT","6-4","265",3,"0.8000","Virginia"
37,"Khaynin Mosley-Smith","Milford Academy (Pittsburgh, PA)","DT","6-1","275",3,"0.7982","Pittsburgh"
38,"Russell Bodine","Fork Union Military Academy (Fork Union, VA)","OG","6-3","285",2,"0.7933","North Carolina"
39,"Brandon Hazzard","Hargrave Military Academy (Chatham, VA)","ILB","6-0","245",2,"0.7889","Kent State"
40,"Marquis Spruill","Fork Union Military Academy (Fork Union, VA)","ILB","6-1","220",2,"0.7667","Syracuse"
41,"Kyle Kozak","Hargrave Military Academy (Chatham, VA)","WDE","6-5","245",2,"0.7667","Ohio"
42,"Kevin Wheeler","Hargrave Military Academy (Chatham, VA)","WR","6-0","179",2,"0.7667","Eastern Michigan"
43,"Anthony Holmes","Milford Academy (New Berlin, NY)","S","6-1","185",2,"0.7333","Akron"
44,"Travon Van","Milford Academy (New Berlin, NY)","ATH","5-11","200",2,"0.7000","Marshall"
