height_inches,dash_seconds,bmi,position
67.5,4.57,30.0872428,RB
67.75,4.32,26.03668251,TE
67.75,4.68,29.71244945,DT
68,4.55,31.01470588,RB
68,4.45,29.95047578,RB
68,4.44,27.06185121,WR
68.125,4.47,28.62886289,RB
68.5,4.6,30.71341041,RB
69,4.42,29.08863684,RB
69.25,4.38,30.93130368,RB
69.25,4.69,28.43920812,RB
69.375,4.52,30.67387387,RB
69.625,4.59,31.61414219,RB
69.625,4.38,26.10342016,DB
69.625,4.41,28.27870517,WR
69.875,4.62,31.82027707,RB
70,4.67,28.40693878,DB
70.125,4.59,31.73675732,RB
70.25,4.53,25.92591279,DB
70.25,4.47,28.06266385,DB
70.375,4.37,30.66000776,RB
70.5,4.63,28.42975705,RB
70.5,4.46,29.70273125,RB
70.5,4.62,25.88380866,WR
70.5,4.56,24.46939289,DB
70.625,4.38,27.62450309,OL
70.625,4.43,25.08755893,WR
70.625,4.59,29.45674054,RB
70.625,4.67,27.20167907,WR
70.75,4.51,24.01588233,DB
70.75,4.44,27.10564497,DB
70.75,4.43,28.9314138,RB
70.75,4.6,31.45940142,RB
70.875,4.53,29.24929935,RB
71,4.34,26.35727038,WR
71,4.39,27.33346558,DB
71,4.46,27.6123785,DB
71,4.42,27.75183495,RB
71,4.52,32.35389804,LB
71,4.53,26.77563975,WR
71.125,4.72,32.37924271,TE
71.125,4.6,28.0712748,RB
71.25,4.39,30.05005848,RB
71.25,4.48,24.92631579,TE
71.25,4.5,25.75719298,WR
71.25,4.58,26.17263158,WR
71.25,4.38,28.24982456,RB
71.375,4.37,28.56494735,RB
71.375,4.5,26.2190338,DB
71.375,4.65,31.46284056,LB
71.5,4.4,26.67749034,DB
71.5,4.23,25.16484914,DB
71.5,4.52,26.67749034,DB
71.5,4.67,31.07790112,LB
71.625,4.54,29.18808878,RB
71.625,4.48,26.44742316,DB
71.625,4.61,29.18808878,DB
71.75,4.38,24.98978985,WR
71.75,4.53,30.17892654,RB
71.75,4.31,27.85747065,WR
71.75,4.4,29.22303294,RB
71.875,4.33,25.31118941,WR
71.875,4.79,26.39984272,DB
71.875,4.6,26.80808771,WR
71.875,4.43,26.67200605,WR
72,4.55,27.52874228,DB
72.125,4.36,26.89284502,DB
72.125,4.6,31.48760246,LB
72.125,4.48,26.2171454,WR
72.125,4.68,24.32518645,DB
72.125,4.64,28.78480397,RB
72.125,4.34,28.64966404,DB
72.125,4.36,26.2171454,DB
72.125,4.83,27.83882449,DB
72.125,4.63,27.83882449,RB
72.25,4.56,30.43603405,LB
72.25,4.38,25.72248895,DB
72.25,4.45,25.58781624,DB
72.25,4.52,23.7023982,DB
72.375,4.39,25.09688254,WR
72.375,4.48,25.09688254,DB
72.375,4.64,29.12312038,RB
72.375,4.89,30.46519966,LB
72.375,4.55,26.30475389,DB
72.375,4.48,28.7204966,RB
72.375,4.48,28.31787281,RB
72.5,4.44,30.22649227,LB
72.5,4.52,23.40546968,DB
72.5,4.48,27.01659929,DB
72.625,4.56,23.59154049,OL
72.625,4.43,27.3235356,DB
72.625,4.39,26.25725128,DB
72.625,4.38,26.25725128,DB
72.75,4.55,30.94890235,LB
72.75,4.55,28.1595163,DB
72.875,4.74,28.06299704,WR
72.875,4.74,28.46011492,WR
72.875,4.59,29.65146857,LB
73,4.63,30.34152749,LB
